Organization,Gift Year,Gift Amount,Org-reported mission statement,Website,Org-reported geographies of service,Org-reported focus areas
"Advancing Black Arts in Pittsburgh Fund","2021","$2000000","The Advancing Black Arts in Pittsburgh program was established to help build the careers of individual artists, increase the sustainability of cultural organizations focusing on black arts, and boost community awareness of the Black arts sector.","https://pittsburghfoundation.org/advancing-black-arts-pittsburgh","Pittsburgh, PA","Multidisciplinary arts; Race and ethnicity; Fund"
"African American Cultural Heritage Action Fund","2021","$20000000","The African American Cultural Heritage Action Fund is a movement and platform to make an important and lasting contribution to our national landscape and historical record by protecting and preserving historic sites of Black American resilience, activism, and achievement.","https://savingplaces.org/african-american-cultural-heritage","South, US; West, US; United States","Cultural awareness; Bridging divides; Civic and social engagement; Race and ethnicity; Regrantor"
"African Communities Together","2022","$3000000","African Communities Together is an organization of African immigrants fighting for civil rights, opportunity, and a better life for our families here in the U.S. and worldwide. ACT empowers African immigrants to integrate socially, advance economically, and engage civically. We connect African immigrants to critical services, help Africans develop as leaders, and organize our communities on the issues that matter.","https://africans.us/","New York, US; United States; Virginia, US","Civic and social engagement; Livelihoods and workforce development; Immigration or migration; Race and ethnicity; Access to healthcare"
"African Leadership Group","2021","Disclosure delayed for benefit of recipient","We are transforming Africa by developing 3 MILLION ethical and entrepreneurial leaders by 2035.","https://algroup.org/","Global; Middle East & North Africa; Sub-Saharan Africa","Youth development; Philanthropic sector strengthening"
"African Population and Health Research Center","2022","$15000000","Generating evidence, strengthening research and related capacity in the Africa R&D ecosystem, and engaging policy to inform action on health and development","https://aphrc.org/","Sub-Saharan Africa; Kenya; Senegal","Early learning; Chronic diseases; Maternal and perinatal health; Nutrition and food security; Sexual and reproductive health and justice"
"African Women's Development Fund","2021","Disclosure delayed for benefit of recipient","To fund, strengthen and uphold the initiatives, organizations, and movements led by African, women, girls, and gender-diverse people, in pursuit of gender justice and social transformation.","https://awdf.org/","Middle East & North Africa; Sub-Saharan Africa","Gender identity; Fund; Sexual and gender-based violence; Human rights; Nonprofit sector strengthening"
"Afrika Tikkun","2021","Disclosure delayed for benefit of recipient","We grow, nurture and establish young lives from cradle to career with sustainable opportunities that really do matter. Our focus is to empower young people through trusted partner contributions – and our promise is to nourish our partnerships for the greater well being of our young people. We believe in kindness.","https://afrikatikkun.org/","South Africa","Economic development; Livelihoods and workforce development; Youth development"
"Akron Urban League","2022","$2400000","The mission of the Akron Urban League is to improve the quality of life of the citizens of Summit County, particularly African-Americans, through economic self-reliance and social empowerment.","https://www.akronurbanleague.org/","Akron, OH; Canton, OH; Summit County, OH","Creative youth development; Civic and social engagement; Youth development; Race and ethnicity; Public health, public health infrastructure"
"Al Otro Lado","2022","$3500000","Al Otro Lado provides innovative cross-border legal services to refugees, deportees, and other migrants in Tijuana, Mexico, and throughout the U.S., with a focus on Southern California. Our mission is to uplift immigrant communities by fighting against systemic injustices and reunifying families that have been torn apart by unjust immigration laws.","https://alotrolado.org/","Mexico; United States; California, US","Immigration or migration; Incarceration and justice system involvement; Race and ethnicity"
"Alamo Colleges District - San Antonio College","2021","$15000000","To empower our community for success by meeting the postsecondary learning needs of all San Antonio College Students through equitable educational practices for diverse populations in a globally networked society.","https://www.alamo.edu/sac","North America; Texas, US; San Antonio, TX","Bridging divides; Postsecondary, tertiary education"
"Alaska Native Heritage Center","2021","$5000000","Alaska Native Heritage Center preserves and strengthens the traditions, languages, and art of Alaska's Native People through statewide collaboration, celebration, and education.","https://www.alaskanative.net/","United States; Alaska, US","Craft and traditional arts; Bridging divides; Youth development; Race and ethnicity; Mental and behavioral health"
"Alcorn State University","2020","$25000000","Alcorn State University is public historically Black, comprehensive land-grant institution of higher education that provides access and opportunity for diverse students to excel intellectually, build character, and overcome barriers so they can become productive leaders who make meaningful contributions to society.","https://www.alcorn.edu","South, US; North America; United States","Livelihoods and workforce development; Postsecondary, tertiary education; Race and ethnicity"
"All Our Kin","2020","$3000000","All Our Kin is a national nonprofit organization that trains, supports, and sustains family child care educators. Our mission to transform the nation's child care system results in a triple win: child care providers succeed as business owners; working parents find stable, excellent care; and children receive high-quality early education.","https://allourkin.org/","Connecticut, US; New York, US; United States","Economic development; Livelihoods and workforce development; Early learning; Gender identity; Race and ethnicity"
"Alliance College-Ready Public Schools","2022","$16000000","Our mission is to operate a network of small, high-performing high schools and middle schools in low-income communities in California with historically under-performing schools, that will annually demonstrate scholar academic achievement growth, and graduate scholars ready for success in college.","https://www.laalliance.org/","California, US; Los Angeles, CA","Elementary, secondary education; Youth development"
"Alliance San Diego","2022","Disclosure delayed for benefit of recipient","Build collective power to create a more inclusive democracy where everyone can achieve their full potential in an environment of harmony, safety, equality, and justice.","https://www.alliancesd.org/","California, US; San Diego County, CA","Civic and social engagement; Democracy; Immigration or migration; Race and ethnicity"
"Allied Media Projects","2021","$6000000","Allied Media Projects cultivates media for liberation. Our liberation is an ongoing process of personal, collective, and systemic transformation. Together, we grow and exchange ways of using media to create the world we need.","https://alliedmedia.org/","United States","Multidisciplinary arts; Race and ethnicity"
"Alonzo King LINES Ballet","2021","$5000000","The mission and purpose of Alonzo King's LINES Ballet is to nurture artistry and the development of creative expression in dance, through collaboration, performance, and education.","https://linesballet.org/","United States; San Francisco, CA","Creative youth development; Multidisciplinary arts; Performing arts; Youth development; Race and ethnicity"
"Altarum","2022","Disclosure delayed for benefit of recipient","Altarum advances the health of individuals with fewer financial resources and populations disenfranchised by the health system. We partner with state Medicaid and public health departments and federal agencies nationwide to promote health equity. Our work focuses on transforming service delivery, advancing public health, and scaling public health infrastructure.","https://altarum.org/","United States","Aging; Access to healthcare; Maternal and perinatal health; Mental and behavioral health; Public health, public health infrastructure"
"Alternate ROOTS","2021","Disclosure delayed for benefit of recipient","To support the creation and presentation of original art, in all its forms, which is rooted in a particular community of place, tradition or spirit; strive to be allies in the elimination of all forms of oppression; committed to social and economic justice and the protection of the natural world","https://www.alternateroots.org/","South, US","Multidisciplinary arts; Race and ethnicity; Regrantor"
"Alvin Ailey American Dance Theater","2021","$20000000","The mission of Alvin Ailey Dance Foundation is to further the pioneering vision of the choreographer, dancer, and cultural leader Alvin Ailey by building an extended cultural community which provides dance performances, training and education, and community programs for all people.","https://www.alvinailey.org/","Northeast, US; South, US; West, US","Performing arts; Youth development; Race and ethnicity; Active living"
"Amani Global Works","2022","$3000000","Amani Global Works mission is to Care, Cure and Make Whole by providing healthcare to the most impoverished and forgotten communities of Africa.","https://amaniglobalworks.org/","Sub-Saharan Africa; Congo, Democratic Republic of the","Access to healthcare; Maternal and perinatal health; Nutrition and food security; Public health, public health infrastructure; Sexual and reproductive health and justice"
"Amarillo College","2021","$15000000","Transforming our community and economy through learning, innovation, and achievement.","https://www.actx.edu","Texas, US; Amarillo, TX","Economic development; Livelihoods and workforce development; Postsecondary, tertiary education; Vocational education; Race and ethnicity"
"Amber Charter Schools","2022","Disclosure delayed for benefit of recipient","To provide our students an academically rigorous and well-rounded education, along with strong character development, that will enable them to prosper in future endeavors.","https://www.ambercharter.org/","United States","Elementary, secondary education"
"America's Promise Alliance","2022","Disclosure delayed for benefit of recipient","America's Promise Alliance works to ensure a more just and equitable America that empowers every next generation to lead our country forward. We advance this vision by bringing together the diverse organizations and institutions engaging young people and uniting them in powerful collective action.","https://americaspromise.org/","Midwest, US; Northeast, US; United States","Bridging divides; Civic and social engagement; Postsecondary, tertiary education; Youth development; Nonprofit sector strengthening"
"American Association of People with Disabilities","2022","$3000000","AAPD is a national cross-disability civil rights organization that advocates for full civil rights for the over 60 million Americans with disabilities by promoting equal opportunity, economic power, independent living, and political participation.","https://www.aapd.com/","North America; United States","Economic development; Youth development; Aging; Disability; Access to healthcare"
"American Indian College Fund","2021","$20000000","The American Indian College Fund invests in Native students and Tribal College education to transform lives and communities.","https://collegefund.org/","Midwest, US; South, US; West, US","Early learning; Elementary, secondary education; Postsecondary, tertiary education; Race and ethnicity; Regrantor"
"American Indian Higher Education Consortium","2021","Disclosure delayed for benefit of recipient","Provides leadership and influences public policy on American Indian and Alaska Native higher education issues through advocacy, research, and programmatic initiatives; promotes and strengthens Indigenous languages, cultures, communities, lands, and tribal nations; and through its unique position, serves member institutions and developing TCUs.","https://www.aihec.org/","United States","Livelihoods and workforce development; Postsecondary, tertiary education; Race and ethnicity"
"Amref Health Africa","2021","$50000000","Lasting Health Change in Africa through community-led people centered primary health systems while addressing equity and social determinants of health focusing on women and girls as agents of change.","https://amref.org/","Sub-Saharan Africa","Access to healthcare; Infectious and parasitic diseases; Maternal and perinatal health; Sexual and reproductive health and justice; Water access, sanitation, and hygiene"
"Antelope Valley Boys & Girls Club","2022","$2500000","To enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.","https://www.avbgc.org/","Lancaster, CA; Los Angeles, CA; Palmdale, CA","Creative youth development; Youth development; Child development and welfare"
"Anti-Recidivism Coalition (ARC)","2022","Disclosure delayed for benefit of recipient","The Anti-Recidivism Coalition (ARC) works to end mass incarceration. To ensure our communities are safe, healthy, and whole, ARC empowers formerly and currently incarcerated people to thrive by providing a support network, comprehensive reentry services, and opportunities to advocate for policy change.","https://antirecidivism.org/","California, US; Los Angeles, CA","Access to housing and housing development; Livelihoods and workforce development; Incarceration and justice system involvement"
"APIA Scholars","2021","$25000000","The Asian & Pacific Islander American Scholars makes a difference in communities by mobilizing resources to create opportunities for students to access, complete, and succeed after post-secondary education, thereby developing future leaders who will excel in their careers, serve as role models in their communities, and will ultimately contribute to a more vibrant America.","https://apiascholars.org/","United States; Hawaii, US","Postsecondary, tertiary education; Race and ethnicity"
"Apollo Theater","2021","Disclosure delayed for benefit of recipient","The Apollo is a commissioner and presenter; catalyst for new artists, audiences, and creative workforce; and partner in the projection of the African American narrative and its role in the development of American and global culture.","https://www.apollotheaters.org/","United States; New York, NY","Performing arts; Race and ethnicity"
"Arkansas Foodbank","2020","$9000000","The Arkansas Foodbank is the foundation in the fight against hunger. We find pathways to connect people, resources and food to reach those in need, providing dignity, hope and a brighter future for all Arkansans.","https://www.arkansasfoodbank.org","Arkansas, US","Regrantor; Child development and welfare; Nutrition and food security"
"Art for Justice Fund","2021","$5000000","The Art for Justice (A4J) Fund aligns artists, advocates, and allied donors to transform the criminal legal system and create empathy, envisioning a future of what shared safety looks like for all. Through the work of grantees, the Fund seeks to end mass incarceration and shift the narrative around criminal justice reform through art.","https://artforjusticefund.org/","United States","Visual arts; Civic and social engagement; Democracy; Incarceration and justice system involvement; Fund"
"Arts Administrators of Color Network","2021","Disclosure delayed for benefit of recipient","The Arts Administrators of Color Network is a support network that harnesses the power of artists, arts administrators, and organizations of people of the global majority to connect and expand BIPOC leadership across the U. S. creative sector.","https://aacnetwork.org/","United States","Multidisciplinary arts; Race and ethnicity; Regrantor"
"Arts for Healing and Justice Network","2021","$1500000","The Arts for Healing and Justice Network provides structure and coordination for the collaborative work of community-based arts education organizations serving system-impacted youth in Los Angeles County in order to provide alternatives to incarceration, build resiliency and wellness, increase community health, and center arts as a change strategy for young people, communities, and systems.","https://ahjnetwork.org/","Los Angeles County, CA","Creative youth development; Livelihoods and workforce development; Incarceration and justice system involvement; Regrantor; Nonprofit sector strengthening"
"Arts Midwest","2021","$8000000","Arts Midwest seeks to build unprecedented opportunity across the Midwest by advancing creativity. We support, inform, and celebrate arts organizations and creative communities in the Midwest and beyond. We are driven by a vision of Midwestern creativity powering thriving, entrepreneurial, and welcoming communities.","https://www.artsmidwest.org/","Midwest, US","Multidisciplinary arts; Bridging divides; Regrantor; Nonprofit sector strengthening"
"Ascend Public Charter Schools","2022","$11000000","Ascend is a network of K-12 public schools in Brooklyn dedicated to providing all students rich and joyful learning experiences that empower them to live a life of boundless choice.","https://www.ascendlearning.org/","New York, US; New York, NY","Elementary, secondary education; Youth development; Race and ethnicity"
"Ashé Cultural Arts Center","2021","$1000000","Ashé Cultural Art Center uses art and culture to foster human development and civic engagement, maintaining 30,000 square feet of performance/exhibition space, producing 350 multi-disciplinary events annually. As paradigm-shifting ecosystem builders, we deliver programming and services to support, leverage, and celebrate the people, places, and philosophies of the African Diaspora.","https://www.ashenola.org/","South, US; New Orleans, LA","Multidisciplinary arts; Bridging divides; Civic and social engagement; Economic development; Race and ethnicity"
"Asheville Area Habitat for Humanity","2022","Disclosure delayed for benefit of recipient","Asheville Area Habitat for Humanity brings people together to build homes, communities, and hope","https://www.ashevillehabitat.org/","Buncombe County, NC; Madison County, NC","Bridging divides; Access to housing and housing development; Race and ethnicity"
"Ashoka","2021","$10000000","Ashoka identifies and supports the world's leading social entrepreneurs, learns from the patterns in their innovations, and mobilizes a global community that embraces these new frameworks to build an ""everyone a changemaker world.""","https://www.ashoka.org/en-us","Global; United States","Nonprofit sector strengthening"
"Asian & Pacific Islander American Health Forum","2022","$10000000","The Asian & Pacific Islander American Health Forum (APIAHF) influences policy, mobilizes communities, and strengthens programs and organizations to improve the health of Asian Americans & Native Hawaiians/Pacific Islanders.","https://www.apiahf.org/","United States","Race and ethnicity; Regrantor; Access to healthcare; Public health, public health infrastructure"
"Asian American Federation","2021","$5000000","Established in 1989, with the mission to raise the influence and well-being of the pan-Asian American community through research, policy advocacy, public awareness, and nonprofit support, AAF is the largest umbrella leadership organization in New York serving diverse Asian American communities that make up the fastest-growing population in the city, state, and country.","https://www.aafederation.org/","New York, US; New York, NY","Civic and social engagement; Incarceration and justice system involvement; Regrantor; Mental and behavioral health; Nonprofit sector strengthening"
"Asian American LEAD","2021","$2000000","To empower AAPI youth in underserved communities through culturally responsive programming and advocacy.","https://www.aalead.org/","Washington, DC; Maryland, US; Virginia, US","Creative youth development; Civic and social engagement; Youth development; Race and ethnicity"
"Asian Americans Advancing Justice - AAJC","2020","Disclosure delayed for benefit of recipient","Our mission is to advance the civil and human rights for Asian Americans and to build and promote a fair and equitable society for all.","https://www.advancingjustice-aajc.org/","United States","Civic and social engagement; Democracy; Immigration or migration; Race and ethnicity; Human rights"
"Asian Americans/Pacific Islanders in Philanthropy","2021","$2000000","Asian Americans/Pacific Islanders in Philanthropy (AAPIP) expands and mobilizes resources for Asian American, Native Hawaiian, and Pacific Islander communities to build a more just and equitable society.","https://aapip.org/","Midwest, US; Northeast, US; West, US","Bridging divides; Civic and social engagement; Race and ethnicity; Regrantor; Philanthropic sector strengthening"
"Asian Pacific Community Fund of Southern California (APCF)","2021","Disclosure delayed for benefit of recipient","APCF's mission is to cultivate philanthropists to invest in organizations that empower underserved AAPIs to prosper. APCF is focused on transforming lives and meeting the diverse needs of AAPIs by 1) building healthier communities, 2) developing leaders, 3) creating a stronger voice, and 4) providing the foundation for a brighter tomorrow.","https://www.apcf.org/","California, US","Race and ethnicity; Regrantor; Philanthropic sector strengthening; Nonprofit sector strengthening"
"Asian Pacific Fund","2021","$5000000","Our mission is to strengthen the Asian and Pacific Islander community in the Bay Area by increasing philanthropy and supporting the organizations that serve our most vulnerable community members. We envision a thriving Asian and Pacific Islander community with presence and impact.","https://asianpacificfund.org/","Alameda County, CA; San Francisco, CA; San Jose County, CA","Bridging divides; Civic and social engagement; Race and ethnicity; Fund; Nonprofit sector strengthening"
"Asociación Fondo Centroamericano de Mujeres","2022","$15000000","Fondo Centroamericano de Mujeres (FCAM) mission is to mobilize resources to contribute to the strengthening of feminist and women's movements in the Central American region through direct financing, close accompaniment, and the facilitation of opportunities that support their sustainability and struggles.","https://www.fondocentroamericano.org/","Latin America & Caribbean","Environmental justice; Fund; Sexual and gender-based violence; Sexual and reproductive health and justice; Human rights"
"Association for Women's Rights in Development","2022","$15000000","Our mission is to support feminist, women's rights, and gender justice movements to thrive, to be a driving force in challenging systems of oppression, and to co-create feminist realities.","https://www.awid.org/","Global; Latin America & Caribbean; South Asia","Civic and social engagement; Environmental justice; Gender identity; Human rights; Philanthropic sector strengthening"
"Astraea Lesbian Foundation for Justice","2020","$4000000","Astraea fuels local and global movements that shift power to LGBTQI people and organizations pursuing social justice and human rights. We foster powerful collective action by: (a) Investing in LGBTQI activists, artists and organizations best positioned to make transformative change; (b) Advocating for greater and better resources for LGBTQI movements; (c) Amplifying LGBTQI movement voices through media and communications; and (d) Propelling LGBTQI organizing forward through capacity-strengthening and leadership development.","https://www.astraeafoundation.org/","Global; South, US; United States","Gender identity; Race and ethnicity; Sexual orientation; Fund"
"Asylum Access","2022","$4000000","Making refugee rights a reality through supporting forcibly displaced communities to reclaim their rights, agency and power.","https://asylumaccess.org/","Global; Latin America & Caribbean; Middle East & North Africa","Immigration or migration; Regrantor; Philanthropic sector strengthening; Nonprofit sector strengthening"
"Asylum Seeker Advocacy Project (ASAP)","2022","$4000000","The Asylum Seeker Advocacy Project (ASAP) believes that asylum seekers can make great change by standing together. We provide our membership of asylum seekers with legal and community support. And we work with our members - over 400,000 asylum seekers from 175 countries - to build a more welcoming United States.","https://www.asylumadvocacy.org/","North America; United States","Financial inclusion; Immigration or migration"
"Atlanta Habitat for Humanity","2022","$13500000","Atlanta Habitat for Humanity transforms communities by acting as a catalyst for neighborhood revitalization through education, innovative development, partnerships, and long-term relationships with families.","https://atlantahabitat.org/","Georgia, US; Atlanta, GA","Bridging divides; Civic and social engagement; Access to housing and housing development; Financial inclusion; Race and ethnicity"
"Atlanta Music Project","2021","Disclosure delayed for benefit of recipient","Operating in under-resourced communities, the Atlanta Music Project empowers youth to realize their possibilities through music.","https://www.atlantamusicproject.org/","Atlanta, GA; Clayton County, GA; Fulton County, GA","Creative youth development; Performing arts; Youth development; Race and ethnicity; Child development and welfare"
"Atlas Preparatory School","2022","Disclosure delayed for benefit of recipient","Atlas prepares and empowers all students for success on their post-graduate paths through educational excellence, character development, and community engagement.","https://www.atlasprep.org/","Colorado, US; Colorado Springs, CO","Elementary, secondary education; Youth development"
"Austin Area Urban League","2022","Disclosure delayed for benefit of recipient","The mission of the Austin Area Urban League is to provide tools to African Americans and under-served populations to build a foundation for social and economic equity and equality.","https://aaul.org/","Austin, TX","Civic and social engagement; Livelihoods and workforce development; Youth development; Incarceration and justice system involvement; Public health, public health infrastructure"
"Austin Habitat for Humanity","2022","$8500000","Seeking to put God's love into action, Austin Habitat for Humanity brings people together to build homes, communities and hope.","https://austinhabitat.org/","Austin, TX; Caldwell County, TX; Hays County, TX","Bridging divides; Access to housing and housing development; Economic development; Financial inclusion"
"Authors League Fund","2021","$5000000","The Authors League Fund helps professional writers experiencing financial hardship. We help authors, journalists, critics, poets, and dramatists who are facing medical crises, housing insecurity, sudden loss of income, and other emergencies. We provide direct, non-taxable charitable aid and guidance on where else to seek support.","https://authorsleaguefund.org/","United States","Literary arts"
"Autistic Self Advocacy Network","2022","Disclosure delayed for benefit of recipient","The Autistic Self Advocacy Network seeks to advance the principles of the disability rights movement with regard to autism. ASAN believes that the goal of autism advocacy should be a world in which autistic people enjoy equal access, rights, and opportunities.","https://autisticadvocacy.org/","United States","Civic and social engagement; Disability"
"Ballet Hispánico","2021","$10000000","Ballet Hispánico brings communities together to celebrate and explore Latino cultures through innovative dance productions, transformative dance training, and community engagement.","https://www.ballethispanico.org/","United States; New York, NY","Performing arts; Race and ethnicity"
"Banco de Alimentos Puerto Rico","2020","$9000000","Vision: Puerto Rico Hunger Free Mission: Mitigate hunger through the distribution of food, education and hope to create a better Puerto Rico.","https://www.alimentospr.com/","Latin America & Caribbean; Puerto Rico, US","Agricultural development; Regrantor; Child development and welfare; Maternal and perinatal health; Nutrition and food security"
"BellXcel","2022","Disclosure delayed for benefit of recipient","BellXcel serves as the engine for youth programming, building the capacity of schools and community-based organizations to ensure that all children - regardless of race, income, or geography - can excel.","https://www.bellxcel.org/","North America; United States","Early learning; Elementary, secondary education; Youth development; Regrantor"
"Benefits Data Trust","2022","$20000000","Helping people today, modernizing benefits access for tomorrow Today, more than $80 billion in food, financial aid, healthcare, and other assistance goes untapped. We are committed to closing that gap to reduce hunger and poverty, and build pathways to economic mobility.","https://bdtrust.org/","United States","Financial inclusion; Livelihoods and workforce development; Race and ethnicity; Access to healthcare; Nutrition and food security"
"Big Brothers Big Sisters Columbia Northwest","2022","$1500000","The Big Brothers Big Sisters' Mission is to create and support one-to-one mentoring relationships that ignite the power and promise of youth.","https://itsbigtime.org/","Clackamas, OR; Multnomah County, OR; Washington County, OR","Livelihoods and workforce development; Youth development; Race and ethnicity; Sexual orientation"
"Big Brothers Big Sisters Hawaii","2022","$1900000","To create and support one-to-one relationships that ignite the power and promise of youth.","https://www.bbbshawaii.org/","Hawaii, US","Youth development; Incarceration and justice system involvement; Child development and welfare; Mental and behavioral health"
"Big Brothers Big Sisters Independence","2022","Disclosure delayed for benefit of recipient","To ignite the power and promise of youth and close the mentoring gap, by creating and supporting one-to-one mentoring relationships and strengthening the quality of the mentoring field.","https://www.independencebigs.org/","Camden, NJ; Norristown, PA; Philadelphia, PA","Youth development; Gender identity; Race and ethnicity; Sexual orientation; Nonprofit sector strengthening"
"Big Brothers Big Sisters of Acadiana","2022","$500000","Create and support one-to-one mentoring relationships that ignite the power and promise of youth.","https://www.acadianabigs.com/","Lafayette, LA; Natchitoches, LA","Elementary, secondary education; Youth development; Child development and welfare; Mental and behavioral health"
"Big Brothers Big Sisters of America","2022","Disclosure delayed for benefit of recipient","Big Brothers Big Sisters of America creates and supports 1:1+ mentoring relationships that ignite the power and promise of youth so that all kids have the opportunity to graduate with a plan for their future and a mentor who will impact their lifetime.","https://www.bbbs.org/","North America; United States","Livelihoods and workforce development; Youth development; Race and ethnicity; Child development and welfare"
"Big Brothers Big Sisters of Broward County","2022","$1900000","The Big Brothers Big Sisters mission is to create and support one-to-one mentoring relationships that ignite the power and promise of youth.","https://www.bbbsbroward.org/","United States; Florida, US; Broward County, FL","Bridging divides; Livelihoods and workforce development; Elementary, secondary education; Youth development; Incarceration and justice system involvement"
"Big Brothers Big Sisters of Central California","2022","$1500000","Our mission is to create and support one-to-one mentoring relationships that ignite the power and promise of youth.","https://bigs.org/","Fresno, CA; Madera, CA; Tulare, CA","Creative youth development; Early learning; Elementary, secondary education; Youth development; Child development and welfare"
"Big Brothers Big Sisters of Central Carolinas","2022","$2300000","The core of Big Brothers Big Sisters’ mission and values are Justice, Equity, Diversity, and Inclusion –J.E.D.I. It is a part of what we do each and every day to support the children, volunteers, and families that we serve. It is also how we operate internally as a local and national organization.","https://bbbscentralcarolinas.org/","North Carolina, US","Creative youth development; Youth development; Child development and welfare"
